10 13619
1 50 70
2 40 80
3 35 90
4 70 70
5 70 80
6 45 50
7 90 100
8 85 80
9 30 25
10 60 45
2 9 79
8 5 23
4 58 39
1 5 40
3 11 5
4 64 56
5 25 75
4 30 50
7 26 24
5 15 62
7 42 35
8 27 5
4 9 38
8 59 1
8 47 50
1 32 17
2 18 57
8 55 11
8 78 7
3 12 46
6 28 15
7 50 91
8 21 23
5 26 42
7 46 4
3 25 21
1 15 20
7 66 71
7 85 59
5 15 80
8 81 79
5 2 74
10 43 42
5 29 25
3 1 69
1 1 37
1 49 37
3 31 87
5 40 75
8 58 14
10 27 18
7 87 96
8 58 25
5 11 79
3 27 87
4 51 47
3 16 24
4 32 10
3 5 62
8 47 3
10 48 36
10 52 35
7 48 21
8 31 48
5 41 40
10 49 35
7 18 88
4 68 43
10 15 3
1 30 48
4 46 3
3 24 20
7 80 90
7 76 63
5 53 59
4 34 61
5 41 39
6 20 30
5 52 1
7 33 82
3 3 85
8 69 48
6 26 21
8 82 44
8 67 18
8 11 79
6 38 10
5 4 25
10 13 32
1 1 63
7 69 72
8 40 46
8 57 24
3 25 30
5 50 69
5 69 30
1 17 10
5 69 15
5 18 15
8 22 4
6 28 36
1 12 50
7 64 24
8 70 63
3 11 29
4 24 29
5 67 21
4 69 22
8 82 71
7 19 49
8 67 59
4 38 63
7 46 13
4 50 38
6 26 8
7 28 78
8 63 76
5 56 34
5 55 79
2 4 37
6 6 46
7 52 80
5 22 9
1 50 29
7 79 3
3 29 22
5 4 64
5 20 21
1 14 53
4 64 24
5 69 79
8 67 2
2 12 49
4 2 50
7 35 98
7 23 12
7 28 77
4 27 34
6 1 46
7 68 25
7 82 32
4 35 33
8 10 66
10 55 7
10 37 24
8 14 5
4 70 23
8 70 47
3 15 64
8 28 53
4 61 16
6 8 7
2 37 15
10 7 16
8 14 65
5 4 50
7 21 15
7 63 23
2 19 65
2 23 74
6 43 47
1 2 32
1 5 13
10 30 38
8 14 28
1 12 60
6 14 19
5 1 29
10 22 16
7 2 98
7 37 86
5 50 22
8 8 58
10 56 30
8 72 58
2 1 65
7 28 70
4 54 38
6 15 11
8 69 77
10 12 29
10 43 25
5 12 68
7 2 2
10 25 22
5 24 55
4 40 3
7 9 90
3 3 68
5 20 78
7 85 38
4 11 58
7 38 68
7 44 29
4 31 55
10 9 14
1 19 18
8 57 5
8 60 5
1 47 30
7 12 9
4 26 16
7 88 82
8 25 30
5 44 77
8 23 61
10 59 42
10 31 16
8 58 62
6 41 36
3 16 72
7 78 75
6 6 39
7 88 70
8 33 73
1 44 38
7 22 100
5 61 63
5 69 67
5 61 70
5 38 3
4 3 64
8 8 19
8 62 69
3 35 17
4 29 16
3 19 49
8 74 55
5 30 42
3 21 74
7 31 59
1 40 24
7 7 81
10 38 12
7 15 3
3 20 67
4 45 6
3 26 17
4 68 15
3 28 82
7 32 85
8 24 33
1 18 29
5 2 55
2 17 58
7 85 50
8 63 27
4 65 55
8 60 12
8 51 46
6 36 30
7 22 23
7 63 80
5 50 2
7 72 95
